     val	     bit	   bytes	 enc_min	 enc_med	 enc_avg	enc_sdev	 enc_max	 dec_min	 dec_med	 dec_avg	dec_sdev	 dec_max
  2^53-1	      53	       8	  0.4639	  0.4669	  0.4774	  0.0518	  1.3031	  0.9259	  0.9320	  0.9464	  0.0624	  1.7157
  2^54-1	      54	       8	  0.4663	  0.4669	  0.4878	  0.0826	  1.2878	  0.9314	  0.9320	  0.9670	  0.1293	  2.1241
  2^55-1	      55	       8	  0.4633	  0.4669	  0.4730	  0.0350	  0.8942	  0.9259	  0.9320	  0.9428	  0.0506	  1.8658
  2^56-1	      56	       8	  0.4633	  0.4669	  0.4720	  0.0334	  0.9705	  0.9259	  0.9315	  0.9406	  0.0482	  1.7108
  2^57-1	      57	       9	  0.4633	  0.4669	  0.4746	  0.0436	  1.2811	  0.9259	  0.9320	  0.9441	  0.0554	  1.7542
  2^58-1	      58	       9	  0.4633	  0.4694	  0.4744	  0.0381	  0.8893	  0.9259	  0.9369	  0.9450	  0.0544	  1.6816
  2^59-1	      59	       9	  0.4663	  0.4681	  0.4742	  0.0407	  1.0615	  0.9314	  0.9369	  0.9423	  0.0459	  1.5973
  2^60-1	      60	       9	  0.4633	  0.4669	  0.4749	  0.0451	  0.9973	  0.9259	  0.9320	  0.9426	  0.0522	  2.1393
  2^61-1	      61	       9	  0.4663	  0.4669	  0.4812	  0.0633	  1.2299	  0.9314	  0.9320	  0.9522	  0.0738	  1.6571
  2^62-1	      62	       9	  0.4633	  0.4669	  0.4746	  0.0447	  1.2756	  0.9259	  0.9315	  0.9431	  0.0557	  1.8201
  2^63-1	      63	       9	  0.4633	  0.4669	  0.4717	  0.0379	  0.9277	  0.9259	  0.9314	  0.9392	  0.0537	  2.1973
  2^64-1	      64	       9	  0.4633	  0.4669	  0.4706	  0.0335	  0.9149	  0.9259	  0.9314	  0.9383	  0.0497	  2.0239
