     val	     bit	   bytes	 enc_min	 enc_med	 enc_avg	enc_sdev	 enc_max	 dec_min	 dec_med	 dec_avg	dec_sdev	 dec_max
  2^55-1	      55	       8	  0.4639	  0.4645	  0.4708	  0.0388	  1.0345	  0.9259	  0.9265	  0.9364	  0.0423	  1.7773
  2^56-1	      56	       8	  0.4633	  0.4645	  0.4711	  0.0417	  1.1622	  0.9259	  0.9265	  0.9367	  0.0451	  1.4899
  2^57-1	      57	       9	  0.4639	  0.4663	  0.4704	  0.0348	  0.9357	  0.9259	  0.9314	  0.9359	  0.0385	  1.3696
  2^58-1	      58	       9	  0.4633	  0.4663	  0.4712	  0.0356	  0.9253	  0.9259	  0.9314	  0.9378	  0.0423	  1.7884
  2^59-1	      59	       9	  0.4633	  0.4645	  0.4696	  0.0309	  0.8765	  0.9259	  0.9265	  0.9355	  0.0385	  1.4813
  2^60-1	      60	       9	  0.4639	  0.4663	  0.4710	  0.0478	  2.4359	  0.9259	  0.9314	  0.9368	  0.0618	  4.0986
  2^61-1	      61	       9	  0.4633	  0.4663	  0.4706	  0.0358	  1.0217	  0.9259	  0.9314	  0.9365	  0.0397	  1.5247
  2^62-1	      62	       9	  0.4633	  0.4645	  0.4722	  0.0456	  1.0492	  0.9259	  0.9265	  0.9379	  0.0505	  1.6101
  2^63-1	      63	       9	  0.4633	  0.4663	  0.4715	  0.0380	  1.0004	  0.9259	  0.9320	  0.9383	  0.0407	  1.3971
  2^64-1	      64	       9	  0.4639	  0.4669	  0.5106	  0.1345	  1.3635	  0.9259	  0.9320	  0.9798	  0.1435	  1.8933
